ride_id,"Number of duplicated ride_id"
B56A7F8BCB060660,2
B634883EB8C7F224,2
B69A4C0140C52F16,2
B8FD82D36817B095,2
BAD24698A94F6CC1,2
BAD7E7284556897F,2
BAF05E764E310B11,2
BB4697B59E3FF12A,2
BC0BF5FBCC69DF2B,2
BE1F691E387D7072,2
BEE212DC635A9BDE,2
C30749739FC2AB76,2
C401F279D58BAEA5,2
C4EC57564F928A97,2
C5F61FDE4B5B9D17,2
C763BA9D0F6ED827,2
C8B94BC7DD092920,2
CA76F0973355647E,2
CA77A15F96E13176,2
CB8FE4B0E55A3F7B,2
CC40068D416EC93F,2
CCCA6825EEBA5F09,2
CDA12952E2FC2D99,2
D179C51BB3994B59,2
D4010B42A8CEF102,2
D47305CAB26FD130,2
D4FD2AA1D6B6E037,2
D6F0C7555EB098DB,2
D9C6FA60E196E011,2
DA76509FC11F3564,2
DAC776CD90DB9D98,2
DD44314B313456F9,2
DF565CF364553A8E,2
E395B26B8DBF052F,2
E3BA43F13E5D2B60,2
E44920C9147FF72B,2
E57483D9742A72F5,2
E8947AD04F549FE8,2
EAB41740602B3BA6,2
EBA124D6EF65666A,2
EEA512DD5A5D13DE,2
F147CEF60AD16A60,2
F1D30F753DEE73F4,2
F79FBB1530DAE542,2
F840BA439E7C7564,2
F9338303AF8415BA,2
FBDC09ED8D3084B4,2
FC5B6175C2B7F964,2
FE36876C99DE6E66,2
FF1B35D974D5B39E,2
FF49C6C596507F0B,2
